Sample	Peptide	Count_1	Count_2	Count_3	Intensity_1	Intensity_2	Intensity_3
C2	Negative	20	14	12	79	51	36
C3	Negative	3	2	5	7	9	26
C4	Negative	3	8	5	4	20	13
S1	Positive	814	839	835	11505	11618	11218
S5	Positive	924	847	888	12491	11653	11521
S9	Positive	840	825	819	11941	11462	11531
M1	Positive	755	729	756	10928	10515	10850
M5	Positive	759	787	736	10553	10271	10292
M9	Positive	857	790	753	11870	10532	9929
C1	Positive	760	780	798	11276	10810	10846
S2	Positive	804	813	808	11889	11568	11588
S6	Positive	787	752	796	11171	10966	10972
S10	Positive	891	889	925	11843	12385	11684
M2	Positive	748	739	728	11079	10943	11037
M6	Positive	842	868	843	12063	11264	11612
M10	Positive	758	713	795	10525	10126	10220
C2	Positive	807	799	799	10698	9955	11454
S3	Positive	915	950	893	11916	11536	11501
S7	Positive	767	793	806	11015	11174	11426
S11	Positive	712	702	675	10442	10340	9883
M3	Positive	810	800	766	11843	11506	11143
M7	Positive	785	792	813	11609	12248	12364
M11	Positive	50	39	35	429	152	227
C3	Positive	818	801	749	10702	10263	10532
S4	Positive	50	39	35	11397	11711	11502
S8	Positive	773	807	808	11310	12379	11816
S12	Positive	769	774	797	11106	11390	10393
M4	Positive	662	697	692	10179	10345	9805
M8	Positive	841	816	829	11163	11175	11840
M12	Positive	818	775	804	11050	10334	10392
C4	Positive	811	789	806	10677	10411	11151
