A	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
3002	0.00921	15	0.06219	6	0.00056	40	0.02811	12
3004	0.00070	26	0.00208	28	0.00339	25	0.00251	33
3010	0.00000	NA	0.00000	NA	0.00000	NA	0.00151	41
3101	0.02351	10	0.01040	22	0.03247	9	0.04794	5
3102	0.00006	53	0.00000	NA	0.00000	NA	0.00151	39
3104	0.00000	NA	0.00021	54	0.00000	NA	0.00000	NA
3109	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	55
3112	0.00000	NA	0.00000	NA	0.00028	45	0.00000	NA
3201	0.03133	7	0.01414	21	0.01299	18	0.02711	13
3206	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	50
3301	0.00991	14	0.02121	16	0.00113	35	0.01958	16
3303	0.00133	22	0.04451	9	0.09430	4	0.01305	19
3305	0.00025	30	0.00000	NA	0.00000	NA	0.00000	NA
3401	0.00000	NA	0.00042	38	0.01581	15	0.00025	60
3402	0.00044	28	0.03349	13	0.00028	44	0.00326	28
3403	0.00000	NA	0.00021	50	0.00000	NA	0.00000	NA
3405	0.00000	NA	0.00000	NA	0.00141	32	0.00000	NA
3601	0.00006	44	0.02413	14	0.00000	NA	0.00276	32
3603	0.00000	NA	0.00021	49	0.00000	NA	0.00000	NA
4301	0.00000	NA	0.00021	52	0.00000	NA	0.00000	NA
6601	0.00261	19	0.01477	19	0.00028	48	0.00552	24
6602	0.00000	NA	0.00790	23	0.00000	NA	0.00100	43
6603	0.00000	NA	0.00229	27	0.00000	NA	0.00000	NA
6801g	0.02503	9	0.03681	11	0.01863	13	0.04694	6
6802	0.00845	16	0.06510	5	0.00028	46	0.02460	14
6803	0.00006	45	0.00000	NA	0.00028	50	0.01381	18
6805	0.00000	NA	0.00021	41	0.00000	NA	0.00351	26
6807	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	49
6815	0.00000	NA	0.00021	42	0.00000	NA	0.00000	NA
6825	0.00006	41	0.00000	NA	0.00000	NA	0.00000	NA
6901	0.00076	25	0.00042	40	0.00141	29	0.00552	23
7401g	0.00006	48	0.05220	7	0.00113	34	0.00753	21
7403	0.00019	32	0.00021	51	0.00000	NA	0.00000	NA
7409	0.00000	NA	0.00062	32	0.00000	NA	0.00000	NA
7411	0.00000	NA	0.00062	34	0.00000	NA	0.00000	NA
8001	0.00000	NA	0.00707	24	0.00000	NA	0.00251	34
