B	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
4405	0.00241	35	0.00041	68	0.00000	NA	0.00175	62
4409	0.00006	76	0.00000	NA	0.00000	NA	0.00000	NA
4410	0.00000	NA	0.00124	49	0.00000	NA	0.00025	101
4415	0.00000	NA	0.00021	81	0.00000	NA	0.00000	NA
4418	0.00000	NA	0.00021	77	0.00000	NA	0.00000	NA
4501g	0.00426	28	0.04502	7	0.00226	52	0.01526	22
4601	0.00000	NA	0.00000	NA	0.06112	3	0.00000	NA
4701	0.00235	36	0.00124	48	0.00028	83	0.00300	51
4702	0.00006	74	0.00000	NA	0.00000	NA	0.00000	NA
4703	0.00000	NA	0.00041	66	0.00000	NA	0.00025	100
4801g	0.00051	44	0.00021	73	0.02037	19	0.02151	14
4802	0.00000	NA	0.00021	75	0.00000	NA	0.00025	109
4803	0.00000	NA	0.00000	NA	0.00141	56	0.00075	79
4804	0.00000	NA	0.00000	NA	0.00085	69	0.00000	NA
4901	0.01341	18	0.02822	14	0.00113	63	0.02351	12
5001	0.00807	24	0.00934	25	0.00736	33	0.01451	24
5002	0.00013	60	0.00021	83	0.00000	NA	0.00100	72
5101g	0.04544	9	0.02178	16	0.06282	2	0.05778	3
5102	0.00006	70	0.00041	71	0.00623	36	0.00550	44
5105	0.00013	61	0.00000	NA	0.00000	NA	0.00000	NA
5106	0.00000	NA	0.00000	NA	0.00255	48	0.00025	113
5107	0.00025	53	0.00000	NA	0.00085	67	0.00100	73
5108	0.00057	43	0.00000	NA	0.00085	68	0.00150	66
5109	0.00044	45	0.00083	56	0.00000	NA	0.00000	NA
5114	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	93
5119	0.00006	69	0.00000	NA	0.00000	NA	0.00000	NA
5137	0.00000	NA	0.00000	NA	0.00028	85	0.00000	NA
5201g	0.00960	21	0.01432	20	0.03679	8	0.02676	11
5301	0.00324	32	0.11245	1	0.00085	66	0.01551	21
5401	0.00000	NA	0.00000	NA	0.03282	12	0.00025	116
5501	0.01729	15	0.00415	38	0.00538	38	0.01051	31
5502	0.00000	NA	0.00000	NA	0.01585	22	0.00000	NA
5512	0.00000	NA	0.00000	NA	0.00028	77	0.00000	NA
5601	0.00496	26	0.00228	43	0.00792	30	0.00350	50
5602	0.00000	NA	0.00000	NA	0.00028	78	0.00000	NA
5603	0.00000	NA	0.00000	NA	0.00141	60	0.00000	NA
5604	0.00000	NA	0.00000	NA	0.00141	59	0.00000	NA
5701	0.03832	10	0.00477	35	0.02066	18	0.01176	29
5702	0.00038	49	0.00415	36	0.00000	NA	0.00025	102
5703	0.00032	51	0.03382	12	0.00000	NA	0.00675	37
5704	0.00000	NA	0.00290	41	0.00000	NA	0.00000	NA
5801g	0.00470	27	0.03506	11	0.05772	4	0.01451	23
5802	0.00006	67	0.04108	8	0.00000	NA	0.00450	48
5901	0.00000	NA	0.00000	NA	0.00821	29	0.00000	NA
6701	0.00006	84	0.00000	NA	0.00255	49	0.00000	NA
6702	0.00000	NA	0.00021	78	0.00000	NA	0.00000	NA
7301	0.00019	55	0.00000	NA	0.00028	80	0.00125	67
7801	0.00000	NA	0.01328	22	0.00000	NA	0.00125	70
7802	0.00000	NA	0.00021	80	0.00000	NA	0.00000	NA
8101g	0.00000	NA	0.01950	18	0.00085	71	0.00250	56
8201	0.00000	NA	0.00166	46	0.00000	NA	0.00000	NA
8202	0.00000	NA	0.00062	60	0.00000	NA	0.00000	NA
