C	EUR_freq	EUR_rank	AFA_freq	AFA_rank	API_freq	API_rank	HIS_freq	HIS_rank
0509	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	31
0602	0.09301	4	0.08855	4	0.06518	6	0.05878	5
0603	0.00006	38	0.00000	NA	0.00000	NA	0.00000	NA
0608	0.00000	NA	0.00041	32	0.00000	NA	0.00000	NA
0609	0.00000	NA	0.00021	34	0.00000	NA	0.00000	NA
0610	0.00006	36	0.00000	NA	0.00000	NA	0.00000	NA
0615	0.00000	NA	0.00000	NA	0.00028	37	0.00000	NA
0701g	0.16658	1	0.12401	2	0.03894	12	0.10355	3
0702	0.15006	2	0.06968	7	0.14560	1	0.11281	2
0704g	0.01118	15	0.00871	18	0.01016	17	0.00950	19
0705	0.00000	NA	0.00062	27	0.00000	NA	0.00025	44
0707	0.00006	30	0.00000	NA	0.00000	NA	0.00000	NA
0709	0.00006	44	0.00000	NA	0.00000	NA	0.00000	NA
0710	0.00006	31	0.00000	NA	0.00000	NA	0.00000	NA
0712	0.00006	34	0.00000	NA	0.00000	NA	0.00000	NA
0717	0.00000	NA	0.00000	NA	0.00000	NA	0.00050	32
0726	0.00000	NA	0.00000	NA	0.00028	39	0.00000	NA
0727	0.00000	NA	0.00000	NA	0.00113	28	0.00025	35
0735	0.00000	NA	0.00062	25	0.00000	NA	0.00000	NA
0743	0.00000	NA	0.00000	NA	0.00028	41	0.00000	NA
0801	0.00006	47	0.00124	24	0.07985	5	0.02826	14
0802	0.03875	9	0.03733	9	0.00395	22	0.04927	8
0803	0.00044	23	0.00021	42	0.00451	20	0.00250	26
0804	0.00000	NA	0.01182	17	0.00000	NA	0.00150	27
0811	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	42
0812	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	38
0813	0.00000	NA	0.00021	39	0.00000	NA	0.00000	NA
1202	0.00934	16	0.00145	23	0.04486	11	0.01301	17
1203	0.04892	8	0.01783	12	0.02737	13	0.04127	11
1204	0.00006	35	0.00000	NA	0.00198	23	0.00000	NA
1205	0.00013	28	0.00000	NA	0.00028	38	0.00000	NA
1212	0.00006	39	0.00000	NA	0.00000	NA	0.00000	NA
1402	0.01150	14	0.01265	15	0.04797	10	0.01326	16
1403	0.00013	25	0.00270	21	0.01383	16	0.00050	34
1404	0.00006	46	0.00000	NA	0.00000	NA	0.00000	NA
1406	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	43
1502g	0.01861	13	0.00539	20	0.04966	9	0.03052	13
1503	0.00006	42	0.00000	NA	0.00000	NA	0.00000	NA
1504	0.00044	22	0.00000	NA	0.00085	29	0.00050	33
1505	0.00235	19	0.01452	13	0.01411	15	0.00800	20
1506	0.00013	27	0.00000	NA	0.00000	NA	0.00000	NA
1508	0.00000	NA	0.00000	NA	0.00028	35	0.00000	NA
1509	0.00000	NA	0.00000	NA	0.00000	NA	0.00525	24
1511	0.00006	33	0.00000	NA	0.00028	40	0.00000	NA
1519	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	37
1520	0.00000	NA	0.00000	NA	0.00000	NA	0.00025	45
1601	0.03539	11	0.09788	3	0.00169	25	0.05053	6
1602	0.00260	18	0.00041	30	0.00790	19	0.00550	23
1604	0.00083	21	0.00021	43	0.00000	NA	0.00075	28
1608	0.00000	NA	0.00021	35	0.00000	NA	0.00000	NA
1701g	0.00667	17	0.07362	6	0.00141	26	0.02251	15
1704	0.00000	NA	0.00021	37	0.00000	NA	0.00000	NA
1801g	0.00013	26	0.03194	11	0.00000	NA	0.00350	25
1803	0.00000	NA	0.00021	40	0.00000	NA	0.00000	NA
